Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,58.0
31,29,Colin,Sanders,Colin Sanders, 0.11 ,55,58, (3.00),,,,
32,29,Scott,Kay,Scott Kay, 1.28 ,55,58, (3.00),,,,
33,29,Matt,Brenner,Matt Brenner, 2.00 ,55,58, (3.00),,,,
34,29,Mike,Coleman,Mike Coleman, 2.90 ,55,58, (3.00),,,,
35,35,Mark,Mozuch,Mark Mozuch, (1.24),56,58, (2.00),,,,
36,35,Derek,Phelan,Derek Phelan, (0.43),56,58, (2.00),,,,
37,35,Dino,Papagni,Dino Papagni, 2.32 ,56,58, (2.00),,,,
38,38,Carl,Miller,Carl Miller, (2.46),57,58, (1.00),$8.00 ,,,
39,38,Steve,Erle,Steve Erle, 0.98 ,57,58, (1.00),,,,
40,38,Eldridge,Manchester,Eldridge Manchester, 1.57 ,57,58, (1.00),,,,
41,38,Jon,Toby,Jon Toby, 2.15 ,57,58, (1.00),,,,
42,38,Booth,Burrows,Booth Burrows, 6.61 ,57,58, (1.00),,,,
43,38,Robert,Nguyen,Robert Nguyen,,57,58, (1.00),,,,
44,44,David,Haning,David Haning, (6.19),58,58, -   ,$98.00 ,,,
45,44,James,Teets,James Teets, (2.65),58,58, -   ,$10.00 ,,,
46,44,Kevin,Smeds,Kevin Smeds, (0.36),58,58, -   ,,,,
47,44,Mike,Nejad,Mike Nejad, 1.35 ,58,58, -   ,,,,
48,44,Dylan,Cantu,Dylan Cantu, 2.38 ,58,58, -   ,,,,
49,44,Warren,Sedar,Warren Sedar, 3.24 ,58,58, -   ,,,,
50,50,Derf,Lewis,Derf Lewis, (1.97),59,58, 1.00 ,,,,
51,50,Glenn,Murray,Glenn Murray, 2.76 ,59,58, 1.00 ,,,,
52,50,Max,Rosen,Max Rosen, 3.43 ,59,58, 1.00 ,,,,
53,50,Joe,Graham,Joe Graham, 8.20 ,59,58, 1.00 ,,,,
54,54,David,Falzone,David Falzone, 1.51 ,60,58, 2.00 ,,,,
55,54,William,Matheny IV,William Matheny IV, 3.22 ,60,58, 2.00 ,,,,
56,54,Joel,Tondreau,Joel Tondreau, 4.34 ,60,58, 2.00 ,,,,
57,54,Jake,Schultz,Jake Schultz, 4.42 ,60,58, 2.00 ,,,,
58,54,Aurelius,Lewicki,Aurelius Lewicki, 4.97 ,60,58, 2.00 ,,,,
59,54,Bobby,Hoellwarth,Bobby Hoellwarth, 5.15 ,60,58, 2.00 ,,,,
60,54,Dustin,Perez,Dustin Perez,,60,58, 2.00 ,,,,
61,61,Alaw,Guo,Alaw Guo, 1.16 ,61,58, 3.00 ,,,,
62,61,Daniel,Tarango,Daniel Tarango, 1.97 ,61,58, 3.00 ,,,,
63,61,Jason,Tindell,Jason Tindell, 6.06 ,61,58, 3.00 ,,,,
64,64,Alex,Torres,Alex Torres, 2.29 ,62,58, 4.00 ,,,,
65,64,Ron,Schreier,Ron Schreier, 6.03 ,62,58, 4.00 ,,,,
66,64,Tristan,Kolkhorst,Tristan Kolkhorst, 6.88 ,62,58, 4.00 ,,,,
67,64,Marco,Benites,Marco Benites,,62,58, 4.00 ,,,,
68,68,Niel,Jones,Niel Jones, 3.70 ,63,58, 5.00 ,,,,
69,68,Mike,Figueroa,Mike Figueroa, 3.72 ,63,58, 5.00 ,,,,
70,68,Chase,Lawler,Chase Lawler, 8.92 ,63,58, 5.00 ,,,,
71,68,Rex,Cressen,Rex Cressen,,63,58, 5.00 ,,,,
72,72,Matt,Friesen,Matt Friesen, 2.35 ,64,58, 6.00 ,,,,
73,72,Scott,Snyder,Scott Snyder, 9.56 ,64,58, 6.00 ,,,,
74,74,Mike,Ridley,Mike Ridley, 6.42 ,65,58, 7.00 ,,,,
75,75,Kellen,Martin,Kellen Martin, 3.14 ,66,58, 8.00 ,,,,
76,75,Tim,DeWeerd,Tim DeWeerd, 3.77 ,66,58, 8.00 ,,,,
77,75,Corey,Godin,Corey Godin, 6.65 ,66,58, 8.00 ,,,,
78,78,Jesse,Pemberton,Jesse Pemberton, 3.33 ,67,58, 9.00 ,,,,
79,78,Nick,Friesen,Nick Friesen, 3.80 ,67,58, 9.00 ,,,,
80,80,Josh,Roa,Josh Roa, 8.20 ,68,58, 10.00 ,,,,
81,81,Brad,King,Brad King, 5.11 ,69,58, 11.00 ,,,,
82,81,Billy,Manger,Billy Manger, 11.81 ,69,58, 11.00 ,,,,
83,83,Leon,Geer,Leon Geer, 2.43 ,71,58, 13.00 ,,,,
84,83,Anthony,Rinquette,Anthony Rinquette, 7.80 ,71,58, 13.00 ,,,,
85,85,Roger,Crain,Roger Crain, 4.90 ,72,58, 14.00 ,,,,
86,85,Chris,Isom,Chris Isom, 8.51 ,72,58, 14.00 ,,,,
87,87,Peter,Thayer,Peter Thayer, 9.78 ,73,58, 15.00 ,,,,
88,88,Brad,Mcmanus,Brad Mcmanus,,76,58, 18.00 ,,,,
89,89,Ilya,Alexakhin,Ilya Alexakhin,,79,58, 21.00 ,,,,
90,90,Liz,Simonsen,Liz Simonsen, 11.58 ,82,58, 24.00 ,,,,
91,91,Charity,Anais,Charity Anais, 4.40 ,84,58, 26.00 ,,,,
92,92,Pei-Chung,Lu,Pei-Chung Lu, 2.36 ,87,58, 29.00 ,,,,
93,93,Jake,Ward,Jake Ward,,DNF,58,#VALUE!,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
