Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Mat Bunnell,2,55,,,,,,James Rossetti,64,46,46,0,,,,,,,,,
Matt Barclay,343,48,,,,,,Shaun Little,64,50,50,0,,,,,,,,,
Matt Brenner,340,46,,,,,,Will Borger,64,46,46,0,,,,,,,,,
Matt Duncanson,172,49,,,,,,Kim Sturdevant,63,56,56,0,,,,,,,,,
Matt Kelly,18,45,,,,,,Michael Lopez,63,48,48,0,,,,,,,,,
Matt Paddock,8,58,,,,,,Drake Birkie,62,53,53,0,,,,,,,,,
Matt Poland,134,54,,,,,,Steve Willis,62,50,50,0,,,,,,,,,
Meg Walsh,3,69,,,,,,Vince Mardigras,61,45,45,0,,,,,,,,,
Micaheal MacAnaney,1,61,,,,,,Angel Diaz,61,54,54,0,,,,,,,,,
Michael Adelsheim,5,54,,,,,,Chuck Boyle,60,53,53,0,,,,,,,,,
Michael Infusino,80,54,,,,,,Chris Simmons,60,52,52,0,,,,,,,,,
Michelle Royster,2,85,,,,,,Chris Roehm,59,49,49,0,,,,,,,,,
Mike Castillo,3,55,,,,,,Rob Sindelar,59,49,49,0,,,,,,,,,
Mike Coleman,95,47,,,,,,Pat Heath,59,48,48,0,,,,,,,,,
Mike Epple,18,53,,,,,,Randy Pace,59,53,53,0,,,,,,,,,
Mike Harter,156,47,,,,,,Ari Freedman,59,49,49,0,,,,,,,,,
Mike Hudson,139,47,,,,,,Nellio Fontes,59,53,53,0,,,,,,,,,
Mike Imlay,25,49,,,,,,Paul Dobson,58,47,47,0,,,,,,,,,
Mike Newton,40,51,,,,,,Alan Musselman,58,51,51,0,,,,,,,,,
Mike Peremba,102,44,,,,,,Beau Griffin,58,47,47,0,,,,,,,,,
Mike Pow,1,84,,,,,,Jacob Sanderson,58,45,45,0,,,,,,,,,
Mike Ridley,224,48,,,,,,Aaron Jacks,58,61,61,0,,,,,,,,,
Misty Lear,10,74,,,,,,Mike Degnan,57,51,51,0,,,,,,,,,
Nate Able,5,69,,,,,,Daniel Dodell,57,53,53,0,,,,,,,,,
Nate Reid,2,69,,,,,,Ben Neely,56,48,48,0,,,,,,,,,
Neal Hoellwarth,7,58,,,,,,Corey Godin,56,50,50,0,,,,,,,,,
Nick Nelson,10,61,,,,,,Tommy Lee Leighton,56,58,58,0,,,,,,,,,
Nick Peters,17,51,,,,,,Josh Schmidt,56,51,51,0,,,,,,,,,
Nick Sacco,1,76,,,,,,Simon Crosby,56,49,49,0,,,,,,,,,
Nick Veith,15,67,,,,,,Frankie Doherty,56,54,54,0,,,,,,,,,
Nick Writ,1,62,,,,,,Robert Nguyen,54,48,48,0,,,,,,,,,
Niko deVries,108,48,,,,,,Steven P.,54,47,47,0,,,,,,,,,
Oliver Bockblacker,1,60,,,,,,Mark Anderson,53,53,53,0,,,,,,,,,
