Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Mike Pushinsky,1,65,,,,,,Paul Kennedy,31,59,59,0,,,,,,,,,
Nate Levine,2,65,,,,,,Luis Ortiz,31,52,52,0,,,,,,,,,
Ron Junker,7,49,,,,,,Dave Headd,31,56,56,0,,,,,,,,,
Nick Kloeppel,1,55,,,,,,Ben Fox,31,44,44,0,,,,,,,,,
Brian Hendersen,5,44,,,,,,Cory Sprous,31,55,55,0,,,,,,,,,
Derick Hoye,5,50,,,,,,Khyber Easton,30,49,49,0,,,,,,,,,
Phillip Vonfurstonberg,2,65,,,,,,Tim Nightway,30,59,59,0,,,,,,,,,
TJ Rigney,10,55,,,,,,Harry Snodgrass,30,54,54,0,,,,,,,,,
Steve Moravec,3,50,,,,,,Alex Kremen,30,53,53,0,,,,,,,,,
Ruben Alaniz,1,55,,,,,,Liz Simonsen,30,64,64,0,,,,,,,,,
Brad Armstrong,1,46,,,,,,David Newgard,30,58,58,0,,,,,,,,,
Eric Winkler,3,51,,,,,,Tim Acker,30,49,49,0,,,,,,,,,
Austin Meyers,2,53,,,,,,Mario Avila,30,52,52,0,,,,,,,,,
John Roberts,1,58,,,,,,Robert Powell,30,53,53,0,,,,,,,,,
Steve Garred,1,60,,,,,,Brandon Nash,29,49,49,0,,,,,,,,,
Jeff Munsch,1,62,,,,,,Rob Byers,29,48,48,0,,,,,,,,,
Jesse Gazzuolo,1,75,,,,,,Ryan Dexter,29,47,47,0,,,,,,,,,
Randall Marquez,1,75,,,,,,Nate Shustack,29,52,52,0,,,,,,,,,
Jack Merk,1,80,,,,,,Tessa Tschantre,29,59,59,0,,,,,,,,,
Erik Lukehart,8,49,,,,,,Max Thrush,29,51,51,0,,,,,,,,,
Joel Johnson,101,50,,,,,,Scott McClellan,29,52,52,0,,,,,,,,,
Freedom Glory,1,55,,,,,,Pete D'Agostino,28,52,52,0,,,,,,,,,
Mila Spencer,1,56,,,,,,Ty Gott,28,56,56,0,,,,,,,,,
Terry Nixon,2,63,,,,,,Steven Hines,28,51,51,0,,,,,,,,,
Mark Neal,1,65,,,,,,Brian Kiley,28,53,53,0,,,,,,,,,
Erica Norton,155,56,,,,,,Jeff Swanson,28,49,49,0,,,,,,,,,
Casey Hudson,5,64,,,,,,Chris Basuino,28,44,44,0,,,,,,,,,
Gary Dunn,26,53,,,,,,Brandon Beam,28,51,51,0,,,,,,,,,
Joe Harrigan,12,55,,,,,,Matt Forehand,28,58,58,0,,,,,,,,,
Sal Williamson,2,68,,,,,,Riley J Gibson,28,84,84,0,,,,,,,,,
Lindsay Reynolds,10,73,,,,,,Aggie Kavlick,28,61,61,0,,,,,,,,,
Juan Archuleta,2,75,,,,,,Travis Simpson,27,49,49,0,,,,,,,,,
Joe Graham,180,45,,,,,,Carl Gustavsson,27,54,54,0,,,,,,,,,
Sal Victor,1,51,,,,,,Wain Owings,27,50,50,0,,,,,,,,,
Mark Tegenkamp,52,47,,,,,,Deanna Chan,27,66,66,0,,,,,,,,,
Evan Hughes,1,55,,,,,,Patrick Smith,26,53,53,0,,,,,,,,,
Mark Mozuch,49,51,,,,,,Gary Dunn,26,53,53,0,,,,,,,,,
Jesse Bowers,3,54,,,,,,Jason Cantero,26,47,47,0,,,,,,,,,
John Robles,1,58,,,,,,Jason Stevens,26,47,47,0,,,,,,,,,
Delmar Vandeburg,4,57,,,,,,Geoffrey Sawyer,26,55,55,0,,,,,,,,,
Gregg Durishan,1,59,,,,,,Bryan Coggins,26,51,51,0,,,,,,,,,
AJ Rosally,6,60,,,,,,Josh Hessler,26,48,48,0,,,,,,,,,
Gloria Schindler,1,85,,,,,,Nick Jaros,26,57,57,0,,,,,,,,,
Nate Doss,1,48,,,,,,Justin Box,26,54,54,0,,,,,,,,,
Marty Harper,1,50,,,,,,Bob McGarity,26,48,48,0,,,,,,,,,
Carrie Berloger,1,54,,,,,,Adriano Rothschild,26,50,50,0,,,,,,,,,
Avery Jenkins,3,45,,,,,,Ashley Foust,26,63,63,0,,,,,,,,,
Sebastian Castro,1,57,,,,,,Mike Imlay,25,49,49,0,,,,,,,,,
Valarie Jenkins,1,57,,,,,,Paul Cunningham,25,56,56,0,,,,,,,,,
Jim Dixon,1,61,,,,,,Derek Meyers,25,49,49,0,,,,,,,,,
Russell Jacobson,2,62,,,,,,Chris Clinton,25,51,51,0,,,,,,,,,
Moon Johnson,7,58,,,,,,Brett Buntjer,25,48,48,0,,,,,,,,,
Chasidee Grarem,1,72,,,,,,Joe Kestler,25,48,48,0,,,,,,,,,
Bill Dooely,3,69,,,,,,Tu Tran,25,58,58,0,,,,,,,,,
Tony Rincon,2,77,,,,,,Brad Pricer,24,56,56,0,,,,,,,,,
Bobby Bohlen,2,71,,,,,,James Costa,24,49,49,0,,,,,,,,,
Nick Garcia,1,53,,,,,,Cody Kite,24,49,49,0,,,,,,,,,
Chingas Smith,1,55,,,,,,Peter Davy,24,57,57,0,,,,,,,,,
Ken Vierra,3,57,,,,,,Rex Crossen2,24,52,52,0,,,,,,,,,
James Barkes,1,58,,,,,,Justin Bojorquez,24,61,61,0,,,,,,,,,
Jeremy Leeds,8,58,,,,,,Mike Pease,24,53,53,0,,,,,,,,,
Harry Snodgrass,30,54,,,,,,Jamie Kennedy,24,55,55,0,,,,,,,,,
Jason Roorski,1,64,,,,,,David Yovino,24,50,50,0,,,,,,,,,
Albert Adams,4,70,,,,,,Alex Georgopoulos,24,56,56,0,,,,,,,,,
Jens Leerssen,5,72,,,,,,Erik Kamprud,23,59,59,0,,,,,,,,,
Kenny Smith,1,97,,,,,,Gabriel Coke,23,53,53,0,,,,,,,,,
Christien Harrigan,4,102,,,,,,Peter Sontag,23,46,46,0,,,,,,,,,
Ben Fleischmann,1,65,,,,,,Anthony Jaussaud,23,51,51,0,,,,,,,,,
Eric Blind,1,66,,,,,,Elena Novik,23,61,61,0,,,,,,,,,
Gregg Bohne,17,55,,,,,,Dave Brownlow,23,47,47,0,,,,,,,,,
Paul Elias,1,83,,,,,,Yukari Seki,23,69,69,0,,,,,,,,,
Dan Santini,247,46,,,,,,KC Seymour,23,53,53,0,,,,,,,,,
JB Beernink,33,45,,,,,,KP Hunter,23,59,59,0,,,,,,,,,
John Kaskela,1,67,,,,,,Tony Newman,23,52,52,0,,,,,,,,,
Jim Kavanah,1,75,,,,,,Anthony Minnella,23,51,51,0,,,,,,,,,
Deren Mehmet,3,66,,,,,,Brian Repp,23,49,49,0,,,,,,,,,
Rob Bagley,2,55,,,,,,Mark Churchill,22,55,55,0,,,,,,,,,
Ben Peterson,1,61,,,,,,John Stewart,22,55,55,0,,,,,,,,,
Sean Whatley,1,62,,,,,,Yurie Goto,22,84,84,0,,,,,,,,,
Amber Clark,13,65,,,,,,Alexandria Cronin,22,84,84,0,,,,,,,,,
Rick Quihillalt,7,53,,,,,,Misha Wilkinson,22,56,56,0,,,,,,,,,
Richard Baca,1,68,,,,,,Juni Martins,22,49,49,0,,,,,,,,,
John Slocum,1,79,,,,,,Erik Rommz,22,54,54,0,,,,,,,,,
Matt Lida,1,58,,,,,,Doug Perlich,21,51,51,0,,,,,,,,,
Paul Bussi,1,63,,,,,,Tony Guerrero,21,54,54,0,,,,,,,,,
Peter Bussi,1,67,,,,,,Thad Roa,21,55,55,0,,,,,,,,,
Juniper Sheler,1,69,,,,,,Mustang Harris,21,47,47,0,,,,,,,,,
Chase Coreurran,1,53,,,,,,Oren Bame,20,51,51,0,,,,,,,,,
James Graves,15,51,,,,,,Patrick Bohlen,20,58,58,0,,,,,,,,,
Jeff Nakamura,2,55,,,,,,Adam Sullivan,20,54,54,0,,,,,,,,,
Mike Stancil,2,71,,,,,,Chris Poole,20,55,55,0,,,,,,,,,
Keith Kukolich,9,70,,,,,,Joe Moore,20,53,53,0,,,,,,,,,
Sean English,1,57,,,,,,Ruben Gonzales,20,48,48,0,,,,,,,,,
Sean Jack,319,43,,,,,,Andrew Dickey,20,50,50,0,,,,,,,,,
Aaron Durand,15,53,,,,,,Tai Madama,20,57,57,0,,,,,,,,,
Tim Stevens,9,60,,,,,,Barry Kane,20,52,52,0,,,,,,,,,
Ivan Abeshaus,5,65,,,,,,Mikey Vaca,20,49,49,0,,,,,,,,,
Jason Minjarez,1,68,,,,,,Andrew Monbouquette,20,49,49,0,,,,,,,,,
Niles Follin,12,62,,,,,,Daniel Humphreys,20,51,51,0,,,,,,,,,
Charlie Kranz,2,70,,,,,,Jordan Amos,20,58,58,0,,,,,,,,,
Chris Peyer,3,62,,,,,,Campbell Smith,20,50,50,0,,,,,,,,,
Pascal Liope,1,77,,,,,,Mick Coronel,20,50,50,0,,,,,,,,,
Corey Myllenbeck,1,55,,,,,,Brian Lee,19,56,56,0,,,,,,,,,
Kevin Conner,1,65,,,,,,Eva Schmidt,19,71,71,0,,,,,,,,,
Anthony Archuleta,5,64,,,,,,Rygel Leone,19,52,52,0,,,,,,,,,
Jim Oller,16,60,,,,,,Dan Goodman,19,61,61,0,,,,,,,,,
Adam Sullivan,20,54,,,,,,Christopher Brantingham,19,56,56,0,,,,,,,,,
Ben Baker,1,67,,,,,,Michael DeBolt,19,55,55,0,,,,,,,,,
Tim Doukas,2,66,,,,,,Tateki Noma,19,46,46,0,,,,,,,,,
Billy Manger,107,52,,,,,,Shifukato Yoshi,19,54,54,0,,,,,,,,,
Daniel Crim,1,59,,,,,,Chris Morris,18,54,54,0,,,,,,,,,
Alaw Guo,114,50,,,,,,Matt Kelly,18,45,45,0,,,,,,,,,
Matt Shustack,38,46,,,,,,Mike Epple,18,53,53,0,,,,,,,,,
Adam Stielow,1,64,,,,,,Charity Anais,18,74,74,0,,,,,,,,,
Craig Newell,1,65,,,,,,Justin Safdie,18,55,55,0,,,,,,,,,
Brad Hoover,76,50,,,,,,Leon Roubinian,18,57,57,0,,,,,,,,,
Seth Buffin,10,59,,,,,,Andy Somers,18,54,54,0,,,,,,,,,
Nate Shustack,29,52,,,,,,Luke Frisher,18,50,50,0,,,,,,,,,
Toby Parks,104,44,,,,,,Greg Durrett,18,57,57,0,,,,,,,,,
Tom McGraw,1,56,,,,,,Patrick Whitesell,18,60,60,0,,,,,,,,,
Robert Martin,5,57,,,,,,Nick Peters,17,51,51,0,,,,,,,,,
Leon Iniguez,14,59,,,,,,Gregg Bohne,17,55,55,0,,,,,,,,,
Chris Chow,8,55,,,,,,Jay Grenfell,17,54,54,0,,,,,,,,,
Pat Heath,59,48,,,,,,Jason Stewart,17,61,61,0,,,,,,,,,
Ron Schreier,240,52,,,,,,Greg Mann,17,59,59,0,,,,,,,,,
Travis Simpson,27,49,,,,,,Spyder Allen,17,59,59,0,,,,,,,,,
Paul Brenner,4,63,,,,,,Tracy Crowder,17,47,47,0,,,,,,,,,
Jason Cantero,26,47,,,,,,Patrick Willey,17,56,56,0,,,,,,,,,
Chris ,1,52,,,,,,Nick Grishkoff,17,50,50,0,,,,,,,,,
Chris Poole,20,55,,,,,,Nathan Vizcarra,17,58,58,0,,,,,,,,,
Robert Anderson,2,65,,,,,,Roth Roeun,17,55,55,0,,,,,,,,,
Peter Butler,1,70,,,,,,Kirby Ralston,17,51,51,0,,,,,,,,,
James Rossetti,64,46,,,,,,Brett Allen,17,51,51,0,,,,,,,,,
Matt Deangelis,2,54,,,,,,Danny Bazo,16,52,52,0,,,,,,,,,
Mike Grossman,1,58,,,,,,Jim Oller,16,60,60,0,,,,,,,,,
Dan Gottheiner,6,63,,,,,,Walter Vanderschraaf,16,50,50,0,,,,,,,,,
Tim Anderson,11,57,,,,,,Nick Friesen,16,60,60,0,,,,,,,,,
Edward Tomasini,11,58,,,,,,Ben Youngerman,16,49,49,0,,,,,,,,,
Stephanie Bogue,8,61,,,,,,Joe Fredeani,16,57,57,0,,,,,,,,,
Harold Hampton,2,48,,,,,,Brad Everett,16,55,55,0,,,,,,,,,
Miles Streb,4,58,,,,,,Tom Kiely2,16,54,54,0,,,,,,,,,
Trevor Vigoren,45,52,,,,,,Chris Rogers,16,50,50,0,,,,,,,,,
Charity Anais,18,74,,,,,,Joe Canose,16,57,57,0,,,,,,,,,
Alan Goodway,1,57,,,,,,Josh Yocum,15,52,52,0,,,,,,,,,
Sean Wull,1,62,,,,,,Les Dranic,15,52,52,0,,,,,,,,,
Martin Walasek,2,62,,,,,,Nick Veith,15,67,67,0,,,,,,,,,
Dori Yanan,1,63,,,,,,Reggie Jackson,15,55,55,0,,,,,,,,,
Peter Endrud,2,67,,,,,,Zac Pape,15,52,52,0,,,,,,,,,
Dan McDealey,2,80,,,,,,James Graves,15,51,51,0,,,,,,,,,
Anthony Jaussaud,23,51,,,,,,Aaron Durand,15,53,53,0,,,,,,,,,
Steve Willis,62,50,,,,,,Mark Eshbaugh,15,54,54,0,,,,,,,,,
Dave Grant,2,78,,,,,,Jeromey Ingalls,15,56,56,0,,,,,,,,,
Scott Prihoda,2,60,,,,,,Donnie Clarke,15,55,55,0,,,,,,,,,
Brian Schindler,1,60,,,,,,Ben Himlan,15,57,57,0,,,,,,,,,
Matthew Baxley,2,61,,,,,,Nick Calabrese,15,54,54,0,,,,,,,,,
Beau Morra,1,72,,,,,,Drew Smithson,15,59,59,0,,,,,,,,,
Wayne Koepcke,4,68,,,,,,Sam Reader,15,57,57,0,,,,,,,,,
Steve Devaughn,3,73,,,,,,Mitch Schee,15,56,56,0,,,,,,,,,
Mika Paule,1,93,,,,,,Bryan Schmitz,15,52,52,0,,,,,,,,,
Rama Pederson,5,56,,,,,,Dave Van Dollen,15,56,56,0,,,,,,,,,
Sam Bonitas,2,66,,,,,,Anthony Rinquette,14,57,57,0,,,,,,,,,
Greg Breazeale,297,43,,,,,,Jason Golz,14,53,53,0,,,,,,,,,
Samir Sahouria,2,63,,,,,,Kale Jessen,14,49,49,0,,,,,,,,,
Xander Mitman,1,65,,,,,,Patrick Knight,14,52,52,0,,,,,,,,,
Mark Eshbaugh,15,54,,,,,,Wilson Linker,14,49,49,0,,,,,,,,,
Adam Barrett,5,57,,,,,,Leon Iniguez,14,59,59,0,,,,,,,,,
Adam Frey,2,57,,,,,,Don Weil,14,57,57,0,,,,,,,,,
Jay Grenfell,17,54,,,,,,Bob Proctor,14,51,51,0,,,,,,,,,
Travis Bartosh,2,59,,,,,,Clovis Boureille,14,57,57,0,,,,,,,,,
Jason Thrower,1,61,,,,,,V Allario,14,50,50,0,,,,,,,,,
Zach Kimbrough,1,64,,,,,,Lefty McFarland,14,59,59,0,,,,,,,,,
Don Weil,14,57,,,,,,Dan Raile,14,58,58,0,,,,,,,,,
Jason Delaney,1,77,,,,,,Jon Andino,14,54,54,0,,,,,,,,,
Candace Archuleta,1,87,,,,,,Steven Meister,14,62,62,0,,,,,,,,,
Mike Murry,1,94,,,,,,Daniel Moroney,14,56,56,0,,,,,,,,,
Shawn Mercy,248,42,,,,,,Dillon Donovan,14,64,64,0,,,,,,,,,
Justin Safdie,18,55,,,,,,Scott Maxey,14,61,61,0,,,,,,,,,
Steven Johnson,4,62,,,,,,Gulya Barclay,13,59,59,0,,,,,,,,,
Putnam Daily,2,54,,,,,,Jeff David,13,51,51,0,,,,,,,,,
Micah Fromkin,1,63,,,,,,Jonathan Owen,13,53,53,0,,,,,,,,,
Matt Pushinsky,1,64,,,,,,Mike Loftin,13,51,51,0,,,,,,,,,
Colin Sanders,203,49,,,,,,Amber Clark,13,65,65,0,,,,,,,,,
Jonah Larkin,1,68,,,,,,Ken Rowley,13,61,61,0,,,,,,,,,
Stefan Sherwood,1,78,,,,,,Geoff Goss,13,57,57,0,,,,,,,,,
Idris Nolan,1,59,,,,,,Kevin Malone,13,57,57,0,,,,,,,,,
Steven Hines,28,51,,,,,,Phelix Roby,13,50,50,0,,,,,,,,,
Norbert Fovenyessy,6,62,,,,,,Josh Roa,13,58,58,0,,,,,,,,,
Nicoletta Godbout,7,63,,,,,,Nic Kons,13,50,50,0,,,,,,,,,
Elena Novik,23,61,,,,,,Travis Miranda,13,50,50,0,,,,,,,,,
James Cebrian,45,48,,,,,,Jacob Aftreth,13,53,53,0,,,,,,,,,
Mike Nejad,198,49,,,,,,Wes Johnson,13,65,65,0,,,,,,,,,
Jacques Duhon,77,51,,,,,,Drew Vokos,13,53,53,0,,,,,,,,,
Sean Hull,2,60,,,,,,Patrick Polach,13,49,49,0,,,,,,,,,
Greg Marter,1,55,,,,,,Kerry Chun,13,69,69,0,,,,,,,,,
TJ Goodwin,1,59,,,,,,Sean Frick,13,58,58,0,,,,,,,,,
Jeff McKiernan,2,63,,,,,,Caleb Gatlin,13,55,55,0,,,,,,,,,
Albert Scaletti,2,73,,,,,,Derek Thompson,13,57,57,0,,,,,,,,,
Ben Hooks,1,65,,,,,,John Opsal,13,56,56,0,,,,,,,,,
Sean Hehir,1,67,,,,,,Aaron Sorber,13,54,54,0,,,,,,,,,
Stan Perkins,1,52,,,,,,Jamie Williams,13,69,69,0,,,,,,,,,
Aaron Thomas,1,68,,,,,,Troy Heine,13,68,68,0,,,,,,,,,
Ken Rowley,13,61,,,,,,Anni Kreml,12,56,56,0,,,,,,,,,
Brendan O'Reilly,78,49,,,,,,Greg Stevenson,12,45,45,0,,,,,,,,,
Randy Pace,59,53,,,,,,Jeff DeForr,12,55,55,0,,,,,,,,,
Eric Kevorrian,1,66,,,,,,Roji Behr,12,54,54,0,,,,,,,,,
Steven Franco,4,58,,,,,,Joe Harrigan,12,55,55,0,,,,,,,,,
Cowboy Johnson,4,54,,,,,,Niles Follin,12,62,62,0,,,,,,,,,
Taylor Sutherland,3,70,,,,,,Jake Schultz,12,53,53,0,,,,,,,,,
Chris Pescatello,78,45,,,,,,JP Haverkamp,12,53,53,0,,,,,,,,,
Rich Korach,105,48,,,,,,Michael Lambert,12,52,52,0,,,,,,,,,
Dave Brownlow,23,47,,,,,,Matt Clarke,12,58,58,0,,,,,,,,,
Nick Guinness,9,51,,,,,,Kelsey Wilmerding,12,58,58,0,,,,,,,,,
"Scott ""Bizzle"" Badovick",331,45,,,,,,Nathaniel Redmond,12,61,61,0,,,,,,,,,
Josh Otis,1,64,,,,,,Cody Williams,12,57,57,0,,,,,,,,,
Mike Jewett,10,61,,,,,,Andrew Rankin,12,53,53,0,,,,,,,,,
Rahul Young,1,57,,,,,,Evan Boucher,12,49,49,0,,,,,,,,,
Mike Gaspar,9,58,,,,,,Tom Johnson,12,50,50,0,,,,,,,,,
Ben Smith,1,62,,,,,,Luka Leskur,12,64,64,0,,,,,,,,,
Zanja Yudell,1,62,,,,,,Marquis Mallen,12,49,49,0,,,,,,,,,
Alex Merchant,2,63,,,,,,Bob Montes,11,49,49,0,,,,,,,,,
Derf Lewis,156,51,,,,,,Greywing Cooper,11,52,52,0,,,,,,,,,
Ryan Tancredi,1,74,,,,,,Gregg Scott,11,48,48,0,,,,,,,,,
Pei-Chung Lu,35,80,,,,,,Tim Anderson,11,57,57,0,,,,,,,,,
Scott McDonald,6,55,,,,,,Edward Tomasini,11,58,58,0,,,,,,,,,
Jonny Blank,97,49,,,,,,James Proctor,11,45,45,0,,,,,,,,,
Matt Christenson,3,57,,,,,,Geoff Anello,11,61,61,0,,,,,,,,,
Gani Urgino,5,58,,,,,,Brandon Andre,11,47,47,0,,,,,,,,,
Kyle Olsen,2,61,,,,,,Tom Grant,11,56,56,0,,,,,,,,,
Devon Santy,1,65,,,,,,Josh Mitts,11,48,48,0,,,,,,,,,
Blake Zealear,46,49,,,,,,Mike Alvarez,11,57,57,0,,,,,,,,,
Walter Vanderschraaf,16,50,,,,,,Aaron Bruno,11,62,62,0,,,,,,,,,
Jeff Delgado,9,53,,,,,,Agnes Kavlick,11,58,58,0,,,,,,,,,
David Lackey,269,42,,,,,,Tad Thrower,11,55,55,0,,,,,,,,,
Mike Holmes,1,57,,,,,,Aaron Keigher,11,59,59,0,,,,,,,,,
Patrick Buck,1,59,,,,,,Tommy Grant,11,52,52,0,,,,,,,,,
Wes Morrison,1,61,,,,,,Samuel Jung,11,58,58,0,,,,,,,,,
Tim Smith,51,52,,,,,,Joe Donahue,11,55,55,0,,,,,,,,,
Adrian Montoya,1,66,,,,,,Brant Willis,10,57,57,0,,,,,,,,,
Stuart Hicks,2,56,,,,,,Dave Moynes,10,59,59,0,,,,,,,,,
Jens Nielsen,1,60,,,,,,Mark Luers,10,60,60,0,,,,,,,,,
Chris Firpo,1,66,,,,,,Misty Lear,10,74,74,0,,,,,,,,,
Michael Shiloh,1,80,,,,,,Nick Nelson,10,61,61,0,,,,,,,,,
Jon Logan,1,80,,,,,,Roger Cansler,10,44,44,0,,,,,,,,,
Niel Jones,381,50,,,,,,Thomas Elder,10,55,55,0,,,,,,,,,
Eric Lukehart,2,58,,,,,,TJ Rigney,10,55,55,0,,,,,,,,,
Onid Ingapap,4,69,,,,,,Lindsay Reynolds,10,73,73,0,,,,,,,,,
Dave Parnell,1,55,,,,,,Seth Buffin,10,59,59,0,,,,,,,,,
Jim Bubolask,1,73,,,,,,Mike Jewett,10,61,61,0,,,,,,,,,
JP Lorrain,3,64,,,,,,Eric Samuel,10,60,60,0,,,,,,,,,
Silvestre Santillan,1,82,,,,,,Ben Torres,10,61,61,0,,,,,,,,,
Eric Prather,2,52,,,,,,David Idell,10,53,53,0,,,,,,,,,
Paul Kinney,39,47,,,,,,Nick Arnett,10,53,53,0,,,,,,,,,
Joe Levin,8,59,,,,,,Ilya Alexakhin,10,57,57,0,,,,,,,,,
Greg Ammosan,2,56,,,,,,Calvin Hendrickson,10,54,54,0,,,,,,,,,
Jason Barr,9,50,,,,,,Lance Landgren,10,47,47,0,,,,,,,,,
Pat Duff,3,58,,,,,,Pat Mortonson,10,54,54,0,,,,,,,,,
Mark Maglio,1,69,,,,,,Armando Perez,10,52,52,0,,,,,,,,,
Scott McClafin,3,53,,,,,,Evan Bennett,10,54,54,0,,,,,,,,,
Reed McCue,3,57,,,,,,Daver Hamilton,10,53,53,0,,,,,,,,,
Chris Illes,1,66,,,,,,Dennis Bevalacqua,10,58,58,0,,,,,,,,,
Jeff Decker,1,67,,,,,,Chris D'Agostino,10,50,50,0,,,,,,,,,
Tim Heartquist,1,68,,,,,,Bill Shea,10,48,48,0,,,,,,,,,
Chris Neubauer,1,79,,,,,,Michael Handler,10,51,51,0,,,,,,,,,
Lee Leomiti,1,57,,,,,,Neil Mason,10,58,58,0,,,,,,,,,
Sean Loftus,1,65,,,,,,Matthew Cowen,10,54,54,0,,,,,,,,,
Drew Elliott,1,66,,,,,,Randy Waters,10,60,60,0,,,,,,,,,
Jim Bobowski,2,69,,,,,,Mike Mardigras,10,54,54,0,,,,,,,,,
Steve Stonehouse,4,62,,,,,,Adrian Cormier,9,58,58,0,,,,,,,,,
Duane Hogarty,3,62,,,,,,David Welty,9,48,48,0,,,,,,,,,
Corey Godin,56,50,,,,,,Eric Jensen,9,56,56,0,,,,,,,,,
Grant Dobson,1,66,,,,,,Quentin Gill,9,54,54,0,,,,,,,,,
Katie Moyer,4,69,,,,,,Seth Blacher,9,49,49,0,,,,,,,,,
Dich ,1,59,,,,,,Steve Schindler,9,60,60,0,,,,,,,,,
Shasta Criss,2,48,,,,,,Joe Kenny,9,60,60,0,,,,,,,,,
Isaac Favala,1,56,,,,,,Keith Kukolich,9,70,70,0,,,,,,,,,
Mark Favala,1,58,,,,,,Tim Stevens,9,60,60,0,,,,,,,,,
Terry Woods,7,54,,,,,,Nick Guinness,9,51,51,0,,,,,,,,,
Scott Sliauzis,6,56,,,,,,Mike Gaspar,9,58,58,0,,,,,,,,,
Matt Wakefield,1,59,,,,,,Jeff Delgado,9,53,53,0,,,,,,,,,
Craig Mussay,2,62,,,,,,Jason Barr,9,50,50,0,,,,,,,,,
Brody Schellenberg,2,63,,,,,,Corey Higdon,9,56,56,0,,,,,,,,,
John Buechner,5,62,,,,,,Mike McClure,9,59,59,0,,,,,,,,,
Foulad Albadeh,246,45,,,,,,Dave Mahoney,9,63,63,0,,,,,,,,,
Jason Lahmani,1,72,,,,,,Matt Frantz,9,60,60,0,,,,,,,,,
Steven Moore,1,55,,,,,,Tony Young,9,70,70,0,,,,,,,,,
Dale Gatlin,32,44,,,,,,Billy O'Connor,9,63,63,0,,,,,,,,,
Kris O'Bryan,1,61,,,,,,Brad Cink,9,52,52,0,,,,,,,,,
Murray Brozinsky,8,60,,,,,,Mark Young,9,62,62,0,,,,,,,,,
Justin Leadbetter,1,67,,,,,,Bubba Kennedy,9,54,54,0,,,,,,,,,
Brian Oxley,1,52,,,,,,Mike Capeto,9,58,58,0,,,,,,,,,
Matt Scott,2,53,,,,,,Michael Thede,9,53,53,0,,,,,,,,,
Rylen Weyth,1,63,,,,,,Eddie Fitzsimmons,9,50,50,0,,,,,,,,,
Jake McDermott,7,53,,,,,,Matyas Sustik,9,58,58,0,,,,,,,,,
Daniel Langmaid,1,66,,,,,,Craig Brown,9,59,59,0,,,,,,,,,
Doug Chin,1,71,,,,,,Dwayne Hegarty,9,55,55,0,,,,,,,,,
Bela Terhune,7,73,,,,,,Dale Ferreira,9,56,56,0,,,,,,,,,
Casey Farrel,1,54,,,,,,Matt Bagnall,9,57,57,0,,,,,,,,,
Brandt Collings,7,59,,,,,,Tom Murtiashaw,9,59,59,0,,,,,,,,,
Joe Moore,20,53,,,,,,Nick Cheney,9,66,66,0,,,,,,,,,
Ernie Rogers,137,45,,,,,,Ryan Santos,9,57,57,0,,,,,,,,,
Ruben Gonzales,20,48,,,,,,Nick Klein,9,56,56,0,,,,,,,,,
Sean Ranick,2,58,,,,,,Dan Duncanson,8,56,56,0,,,,,,,,,
Jonathan Ogan,116,52,,,,,,Jose Yasol,8,59,59,0,,,,,,,,,
Alex Kremen,30,53,,,,,,Matt Paddock,8,58,58,0,,,,,,,,,
Ryan Godfrey,1,74,,,,,,Scott Shanbron,8,54,54,0,,,,,,,,,
Marc Samuel,34,56,,,,,,Terri Appleton,8,82,82,0,,,,,,,,,
Don Pierotti,100,47,,,,,,Dave Walker,8,56,56,0,,,,,,,,,
Rylen Weythman,1,67,,,,,,Erik Lukehart,8,49,49,0,,,,,,,,,
Isaac Bromberg,1,68,,,,,,Jeremy Leeds,8,58,58,0,,,,,,,,,
Eric Webb,1,81,,,,,,Chris Chow,8,55,55,0,,,,,,,,,
Camilla Jeruberg,1,55,,,,,,Stephanie Bogue,8,61,61,0,,,,,,,,,
Kyle Maxwell,8,56,,,,,,Joe Levin,8,59,59,0,,,,,,,,,
Lauren Kopec,7,62,,,,,,Murray Brozinsky,8,60,60,0,,,,,,,,,
Scott Kay,80,47,,,,,,Kyle Maxwell,8,56,56,0,,,,,,,,,
Kevin Jones,1,54,,,,,,Adame Brunner,8,56,56,0,,,,,,,,,
Marcus Volhontseff,5,51,,,,,,Tim Emmott,8,49,49,0,,,,,,,,,
Jim Schneider,4,58,,,,,,Eric Townley,8,52,52,0,,,,,,,,,
Trey Dunlap,2,59,,,,,,Matt Patterson,8,53,53,0,,,,,,,,,
David Stubblefield,3,60,,,,,,Thomas Bullock,8,58,58,0,,,,,,,,,
Chris Sylvester,1,54,,,,,,Joe Clarke,8,65,65,0,,,,,,,,,
Dave Brandon,1,60,,,,,,Jake Mickelson,8,71,71,0,,,,,,,,,
Adam Quinn,4,53,,,,,,Matt Rowe,8,48,48,0,,,,,,,,,
Jason Stevens,26,47,,,,,,Steve Hines,8,49,49,0,,,,,,,,,
