,,,,name,,,,
Dan Duncanson,7, 1.10 ,,,,,,
Eric Winkler,3, 1.10 ,,,,,,
George Quinn,4, 1.10 ,,,,,,
Drew Vokos,13, 1.10 ,,,,,,
Geoffrey Sawyer,23, 1.08 ,,,,,,
Jake Ward,85, 1.08 ,,,,,,
Warren Sedar,205, 1.08 ,,,,,,
Dennis Condos,255, 1.04 ,,,,,,
Jon Andino,14, 0.99 ,,,,,,
Rex Crossen,22, 0.99 ,,,,,,
Chris Butterworth,14, 0.95 ,,,,,,
Jonathan San Ramon,3, 0.92 ,,,,,,
Billy Manger,107, 0.90 ,,,,,,
Brad Hart,6, 0.90 ,,,,,,
Danny Bazo,16, 0.86 ,,,,,,
Nick Trautman,5, 0.83 ,,,,,,
Drake Birkie,53, 0.81 ,,,,,,
Gabriel Coke,23, 0.81 ,,,,,,
Luke Frisher,6, 0.80 ,,,,,,
Nate Shustack,23, 0.77 ,,,,,,
David Lucas,24, 0.77 ,,,,,,
Josh Babiak,31, 0.77 ,,,,,,
Brad Everett,3, 0.73 ,,,,,,
Rick Quihillalt,7, 0.70 ,,,,,,
Gary Dunn,25, 0.68 ,,,,,,
Jeff Delgado,9, 0.67 ,,,,,,
Jake McDermott,7, 0.60 ,,,,,,
Mark Eshbaugh,15, 0.59 ,,,,,,
Calvin Hendrickson,10, 0.57 ,,,,,,
James Teets,46, 0.54 ,,,,,,
Steve Houskey,7, 0.50 ,,,,,,
Brian Lee,19, 0.50 ,,,,,,
Joe Olson,38, 0.50 ,,,,,,
Joe Martinez,37, 0.45 ,,,,,,
Nick Calabrese,11, 0.45 ,,,,,,
Michael Adelsheim,5, 0.41 ,,,,,,
Bob Proctor,4, 0.37 ,,,,,,
Brandon Nolan,4, 0.37 ,,,,,,
Phil Meeker,3, 0.37 ,,,,,,
Alex Torres,60, 0.36 ,,,,,,
Aurelius Lewicki,234, 0.36 ,,,,,,
Mark Mozuch,49, 0.36 ,,,,,,
Bubba Kennedy,9, 0.33 ,,,,,,
Kevin Raos,6, 0.30 ,,,,,,
Thomas Elder,10, 0.29 ,,,,,,
James Metzger,42, 0.27 ,,,,,,
Joe Busby,175, 0.23 ,,,,,,
Corey Godin,32, 0.18 ,,,,,,
Les Dranic,15, 0.18 ,,,,,,
Tim DeWeerd,58, 0.18 ,,,,,,
Jeff Stamper,5, 0.14 ,,,,,,
Jon Braidman,21, 0.14 ,,,,,,
Tom Kiely,17, 0.09 ,,,,,,
Jacques Duhon,20, 0.05 ,,,,,,
Zac Pape,15, 0.05 ,,,,,,
Everett Lyons,4, -   ,,,,,,
Jesse Bowers,3, -   ,,,,,,
Justin Safdie,18, -   ,,,,,,
Tim Smith,7, -   ,,,,,,
Vince Mardigras,7, -   ,,,,,,
Josh Bevalacqua,18, -   ,,,,,,
Brian Kiley,28, (0.05),,,,,,
Elena Novik,22, (0.05),,,,,,
Tony Guerrero,21, (0.05),,,,,,
Thad Roa,19, (0.09),,,,,,
Derf Lewis,120, (0.14),,,,,,
Mark Anderson,53, (0.14),,,,,,
KC Seymour,7, (0.16),,,,,,
Adam Barrett,5, (0.18),,,,,,
Chris Poole,18, (0.18),,,,,,
Paul Kinney,31, (0.18),,,,,,
Chris Chow,8, (0.20),,,,,,
Trevor Vigoren,45, (0.23),,,,,,
Chris Clinton,14, (0.23),,,,,,
James Proctor,3, (0.23),,,,,,
Matt Christenson,3, (0.23),,,,,,
Miles Streb,4, (0.23),,,,,,
Tim Emmott,3, (0.23),,,,,,
John Stewart,22, (0.27),,,,,,
Jonathan Ogan,73, (0.27),,,,,,
Brent Allard,34, (0.27),,,,,,
Gregg Bohne,17, (0.32),,,,,,
Ron Schreier,176, (0.32),,,,,,
Arne Johnson,5, (0.35),,,,,,
Nate Ringor,36, (0.45),,,,,,
Luiz Celeste,33, (0.45),,,,,,
John Drago,30, (0.45),,,,,,
Mike Scheider,4, (0.47),,,,,,
TJ Rigney,9, (0.47),,,,,,
Alan Musselman,47, (0.50),,,,,,
Matt Poland,132, (0.50),,,,,,
Chris Isom,88, (0.50),,,,,,
Scott Sliauzis,5, (0.53),,,,,,
Chris Culp,95, (0.59),,,,,,
Chuck Boyle,60, (0.59),,,,,,
Misha Wilkinson,21, (0.59),,,,,,
Brandon Beam,20, (0.59),,,,,,
Edward Tomasini,11, (0.62),,,,,,
Keith Peedle,53, (0.68),,,,,,
Dave Lender,5, (0.70),,,,,,
Juan Fielding,4, (0.70),,,,,,
Keek Solorio,4, (0.70),,,,,,
Chris Kennedy,82, (0.72),,,,,,
Eric Stucker,36, (0.72),,,,,,
Adrian Cormier,9, (0.80),,,,,,
Mike Alvarez,7, (0.80),,,,,,
Scott McDonald,6, (0.80),,,,,,
Cody Kite,24, (0.86),,,,,,
Tad Thrower,5, (0.88),,,,,,
Jeremiah Palmerston,6, (0.88),,,,,,
Jesse Pemberton,66, (0.90),,,,,,
Andy Somers,16, (0.90),,,,,,
Dominc Torus,3, (0.93),,,,,,
Reed McCue,3, (0.93),,,,,,
Roji Behr,8, (0.93),,,,,,
Matt Duncanson,33, (0.95),,,,,,
Michael Thede,5, (0.96),,,,,,
Mike Gaspar,9, (1.00),,,,,,
Michael DeBolt,7, (1.04),,,,,,
Robert Martin,5, (1.14),,,,,,
Cowboy Johnson,4, (1.17),,,,,,
Delmar Vandeburg,4, (1.17),,,,,,
Michael Debott,3, (1.17),,,,,,
Corey Higdon,9, (1.20),,,,,,
Eric Jensen,9, (1.20),,,,,,
Chris Simmons,30, (1.26),,,,,,
Louie Michard,6, (1.28),,,,,,
Jeff DeForr,12, (1.30),,,,,,
Nate Stone,13, (1.30),,,,,,
Barry Kane,10, (1.31),,,,,,
Evan Bennett,8, (1.33),,,,,,
Jacob Aftreth,12, (1.35),,,,,,
Sean Saxton,16, (1.35),,,,,,
Wain Owings,22, (1.40),,,,,,
Jeremy Frittey,3, (1.40),,,,,,
Becky Terrill,75, (1.44),,,,,,
Jason Golz,14, (1.44),,,,,,
Jeremy Leeds,8, (1.47),,,,,,
Jose Yasol,7, (1.52),,,,,,
Ilya Alexakhin,8, (1.53),,,,,,
Adam Sullivan,20, (1.58),,,,,,
Alaw Guo,111, (1.58),,,,,,
Doug Bushey,5, (1.58),,,,,,
Jacob Demott,6, (1.60),,,,,,
Christopher Brantingham,14, (1.62),,,,,,
Ben Dugas,4, (1.63),,,,,,
Jim Schneider,4, (1.63),,,,,,
Ken Vierra,3, (1.63),,,,,,
Donnie Clarke,15, (1.67),,,,,,
Alex Kremen,26, (1.71),,,,,,
Clovis Boureille,14, (1.71),,,,,,
Mark Churchill,22, (1.76),,,,,,
Josh Roa,14, (1.80),,,,,,
Rama Pederson,5, (1.84),,,,,,
Rocky Mullin,4, (1.87),,,,,,
Ben Unger,3, (1.87),,,,,,
Daniel Rossillon,4, (1.87),,,,,,
Richard Sanders,3, (1.87),,,,,,
Pete Kozlowski,48, (1.89),,,,,,
Dmitri Kononov,13, (1.90),,,,,,
Arthur Soma,35, (1.98),,,,,,
Marc Samuel,34, (1.98),,,,,,
Sarah Amaya,29, (2.03),,,,,,
Andy Hart,4, (2.10),,,,,,
Pat Duff,3, (2.10),,,,,,
Daniel Diodato,3, (2.10),,,,,,
Kelsey Wilmerding,11, (2.14),,,,,,
Reggie Jackson,15, (2.16),,,,,,
Michael Infusino,11, (2.19),,,,,,
Tom Grant,9, (2.20),,,,,,
Matt Clarke,12, (2.20),,,,,,
Daniel Tarango,296, (2.21),,,,,,
Tim Nightway,30, (2.21),,,,,,
Neal Hoellwarth,7, (2.24),,,,,,
Justin Bragg,4, (2.33),,,,,,
Dan Campos,4, (2.33),,,,,,
Patrick Bohlen,20, (2.48),,,,,,
Dave Moynes,10, (2.51),,,,,,
Jeromey Ingalls,14, (2.52),,,,,,
Dave Walker,8, (2.53),,,,,,
Alan Uskert,5, (2.54),,,,,,
Mike Capeto,7, (2.56),,,,,,
Peter Davy,25, (2.57),,,,,,
Josh Hewins,3, (2.57),,,,,,
Scotty O'Neil,3, (2.57),,,,,,
Burton Li,4, (2.57),,,,,,
Joe Frediani,9, (2.60),,,,,,
Kevin Malone,13, (2.65),,,,,,
Randy Pace,27, (2.70),,,,,,
Tai Madama,17, (2.79),,,,,,
Nick Shaw,4, (2.80),,,,,,
Adame Brunner,8, (2.80),,,,,,
Tim Stevens,9, (2.80),,,,,,
Andy Nguyen,43, (2.84),,,,,,
Blaise Panfalone,37, (2.84),,,,,,
Carl Gustavsson,27, (2.84),,,,,,
Kyle McCann,34, (2.88),,,,,,
Ted Hennings,5, (2.89),,,,,,
Mike Spencer,3, (2.92),,,,,,
Chance Linkenbach,5, (2.98),,,,,,
Brad King,154, (3.06),,,,,,
Dennis Bevalacqua,8, (3.07),,,,,,
Ben Himlan,14, (3.11),,,,,,
Quentin Gill,9, (3.13),,,,,,
Harry Snodgrass,28, (3.15),,,,,,
Jeffery Bowling,39, (3.15),,,,,,
JP Haverkamp,13, (3.15),,,,,,
Aaron Kirby,12, (3.15),,,,,,
Leon Iniguez,14, (3.24),,,,,,
Ian Thomas,4, (3.27),,,,,,
Nate Hagner,3, (3.27),,,,,,
Steven Johnson,4, (3.27),,,,,,
Chris Sherwood,23, (3.33),,,,,,
Kumar Chaudhari,71, (3.33),,,,,,
Paul Cunningham,25, (3.38),,,,,,
Leon Roubinian,19, (3.38),,,,,,
Moon Johnson,7, (3.44),,,,,,
Gani Urgino,5, (3.50),,,,,,
Mike Wilson,4, (3.50),,,,,,
Paul Brenner,4, (3.50),,,,,,
Michael Alexander,3, (3.50),,,,,,
Zach Robinson,6, (3.52),,,,,,
Mark Young,8, (3.53),,,,,,
John Kishimoto,3, (3.62),,,,,,
Gonzolo Arestizabal,36, (3.65),,,,,,
Matt Forehand,18, (3.65),,,,,,
Joel Berghoff,4, (3.73),,,,,,
Steve Stonehouse,4, (3.73),,,,,,
Mike Vanderburg,4, (3.73),,,,,,
Warren McCormick,21, (3.74),,,,,,
Geoff Goss,13, (3.75),,,,,,
Joe Harrigan,11, (3.77),,,,,,
Justin Atchley,12, (3.80),,,,,,
Jerry Showman,3, (3.85),,,,,,
Damien Howai,4, (3.85),,,,,,
Joe Levin,8, (3.87),,,,,,
Jason Chinn,27, (3.87),,,,,,
Brad Pricer,24, (3.96),,,,,,
Jeremy Krupp,36, (3.96),,,,,,
Julian White,3, (3.97),,,,,,
Ruben Dones,5, (4.03),,,,,,
Brendan O'Reilly,78, (4.05),,,,,,
David Newgard,31, (4.05),,,,,,
Steve Schindler,6, (4.08),,,,,,
David Stubblefield,3, (4.08),,,,,,
Hans Unger,3, (4.08),,,,,,
Pat Walsh,53, (4.10),,,,,,
Pento Malekzadeh,49, (4.10),,,,,,
