Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,57.0
42,37,Robert,Nguyen,Robert Nguyen, 0.73 ,57,57, -   ,,,,
43,37,Colin,Sanders,Colin Sanders, 3.38 ,57,57, -   ,,,,
44,37,Parry,Wolfe,Parry Wolfe, 3.92 ,57,57, -   ,,,,
45,37,Josh,Mitts,Josh Mitts, 5.57 ,57,57, -   ,,,,
46,37,George,Ross,George Ross, 6.80 ,57,57, -   ,,,,
47,37,Ilya,Alexakhin,Ilya Alexakhin,,57,57, -   ,,,,
48,48,David,Falzone,David Falzone, 0.69 ,58,57, 1.00 ,,,,
49,48,Steve,Erle,Steve Erle, 3.07 ,58,57, 1.00 ,,,,
50,48,Life,Gibson,Life Gibson, 3.16 ,58,57, 1.00 ,,,,
51,48,Derek,Meyers,Derek Meyers, 3.30 ,58,57, 1.00 ,,,,
52,48,Dennis,Warsen,Dennis Warsen, 4.60 ,58,57, 1.00 ,,,,
53,48,Chase,Lawler,Chase Lawler, 4.92 ,58,57, 1.00 ,,,,
54,54,Wain,Owings,Wain Owings, (0.70),59,57, 2.00 ,,,,
55,54,Barry,Kane,Barry Kane, 0.37 ,59,57, 2.00 ,,,,
56,54,Matt,Barclay,Matt Barclay, 3.26 ,59,57, 2.00 ,,,,
57,54,Evan,Sjostrom,Evan Sjostrom, 7.36 ,59,57, 2.00 ,,,,
58,58,Billy,Manger,Billy Manger, 3.18 ,60,57, 3.00 ,,,,
59,58,Mike,Nejad,Mike Nejad, 4.17 ,60,57, 3.00 ,,,,
60,60,Brad,King,Brad King, (2.53),61,57, 4.00 ,$9.00 ,,,
61,60,KP,Hunter,KP Hunter, (1.67),61,57, 4.00 ,,,,
62,60,Derf,Lewis,Derf Lewis, 0.99 ,61,57, 4.00 ,,,,
63,60,Kelsey,Wilmerding,Kelsey Wilmerding, 3.30 ,61,57, 4.00 ,,,,
64,60,Jonathan,Ogan,Jonathan Ogan, 3.33 ,61,57, 4.00 ,,,,
65,65,Marc,Samuel,Marc Samuel, 1.40 ,62,57, 5.00 ,,,,
66,65,Eldridge,Manchester,Eldridge Manchester, 7.14 ,62,57, 5.00 ,,,,
67,65,Nick,Shaw,Nick Shaw,,62,57, 5.00 ,,,,
68,65,Dennis,Ainsweath,Dennis Ainsweath,,62,57, 5.00 ,,,,
69,69,Matt,Frantz,Matt Frantz, (2.00),63,57, 6.00 ,$6.00 ,,,
70,69,Jake,Ward,Jake Ward, 3.98 ,63,57, 6.00 ,,,,
71,69,Brian,Kiley,Brian Kiley, 6.59 ,63,57, 6.00 ,,,,
72,72,Jesse,Pemberton,Jesse Pemberton, 1.33 ,64,57, 7.00 ,,,,
73,72,Nick,Friesen,Nick Friesen, 1.73 ,64,57, 7.00 ,,,,
74,72,Niel,Jones,Niel Jones, 5.70 ,64,57, 7.00 ,,,,
75,75,Pento,Malekzadeh,Pento Malekzadeh, 1.71 ,65,57, 8.00 ,,,,
76,76,Harry,Snodgrass,Harry Snodgrass, 7.97 ,66,57, 9.00 ,,,,
77,77,Chris,Kennedy,Chris Kennedy, 10.00 ,67,57, 10.00 ,,,,
78,78,David,Newgard,David Newgard, 7.82 ,69,57, 12.00 ,,,,
79,79,Tim,DeWeerd,Tim DeWeerd, 8.86 ,70,57, 13.00 ,,,,
80,80,Peter,Thayer,Peter Thayer, 8.06 ,71,57, 14.00 ,,,,
81,81,Chris,Isom,Chris Isom, 9.20 ,72,57, 15.00 ,,,,
82,82,Joe,Fredeani,Joe Fredeani, 11.71 ,75,57, 18.00 ,,,,
83,83,Liz,Simonsen,Liz Simonsen, 11.22 ,81,57, 24.00 ,,,,
84,84,Tommy Lee,Leighton,Tommy Lee Leighton, 11.23 ,82,57, 25.00 ,,,,
85,85,Alexandria,Cronin,Alexandria Cronin,,104,57, 47.00 ,,,,
86,86,James,Teets,James Teets,,DNF,57,  ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
