,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,u_coeff,uv_var_coeff,v_coeff,wdir_coeff,wgust_coeff,wspd_coeff
83,-0.0020030702073862293,2,0.45962474578888757,-0.40494465592243,-0.0,58.64,10.774091181411661,25.0,,Ari Freedman,0.11947057209882762,0.22098484632319648,-0.0,-0.18390013620735438,-0.22748096281662247,0.03331633063785738,0.19841100574523518,0.13715829306450605
84,,0,,,,,,,1.0,Peter Sontag,,,,,,,,
85,,1,,,,,,,1.0,Peter Sontag,,,,,,,,
86,-0.7959131792174599,2,0.45014126749088484,0.0,0.006076218209975681,52.3125,5.269297303825258,16.0,,Peter Sontag,0.0,0.727541888551956,-0.9496546415012421,0.23122811003603186,-0.07067226513652843,0.2951370698969912,1.0154224523532709,0.9415970156550993
87,,0,,,,,,,1.0,AJ Jaussaud,,,,,,,,
88,,1,,,,,,,1.0,AJ Jaussaud,,,,,,,,
89,,2,,,,,,,1.0,AJ Jaussaud,,,,,,,,
90,,0,,,,,,,1.0,Aaron Hesterman,,,,,,,,
91,,1,,,,,,,1.0,Aaron Hesterman,,,,,,,,
92,,2,,,,,,,1.0,Aaron Hesterman,,,,,,,,
93,,0,,,,,,,1.0,Aaron Kirby,,,,,,,,
94,,1,,,,,,,1.0,Aaron Kirby,,,,,,,,
95,,2,,,,,,,1.0,Aaron Kirby,,,,,,,,
96,,0,,,,,,,1.0,Andy Sommers,,,,,,,,
97,,1,,,,,,,1.0,Andy Sommers,,,,,,,,
98,,2,,,,,,,1.0,Andy Sommers,,,,,,,,
99,,0,,,,,,,1.0,Bob McGarity,,,,,,,,
100,,1,,,,,,,1.0,Bob McGarity,,,,,,,,
101,,2,,,,,,,1.0,Bob McGarity,,,,,,,,
102,,0,,,,,,,1.0,Bryan Hesterman,,,,,,,,
103,,1,,,,,,,1.0,Bryan Hesterman,,,,,,,,
104,,2,,,,,,,1.0,Bryan Hesterman,,,,,,,,
105,,0,,,,,,,1.0,Chad Inman,,,,,,,,
106,,1,,,,,,,1.0,Chad Inman,,,,,,,,
107,,2,,,,,,,1.0,Chad Inman,,,,,,,,
108,,0,,,,,,,1.0,Chris Basuino,,,,,,,,
109,,1,,,,,,,1.0,Chris Basuino,,,,,,,,
110,,2,,,,,,,1.0,Chris Basuino,,,,,,,,
111,-0.0,0,1.9662845763605483,-0.0,-0.0,55.57142857142857,4.128068362898664,14.0,,Chris Isom,1.4614002851832348,0.7186712798580883,0.9073235395889829,-0.0,-0.0,-0.0,0.0,0.0
112,,1,,,,,,,1.0,Chris Isom,,,,,,,,
113,,2,,,,,,,1.0,Chris Isom,,,,,,,,
114,,0,,,,,,,1.0,Curtis Bauer,,,,,,,,
115,,1,,,,,,,1.0,Curtis Bauer,,,,,,,,
116,,2,,,,,,,1.0,Curtis Bauer,,,,,,,,
117,,0,,,,,,,1.0,David Randall,,,,,,,,
118,,1,,,,,,,1.0,David Randall,,,,,,,,
119,,2,,,,,,,1.0,David Randall,,,,,,,,
120,,0,,,,,,,1.0,Greg Breazeale,,,,,,,,
121,,1,,,,,,,1.0,Greg Breazeale,,,,,,,,
122,,2,,,,,,,1.0,Greg Breazeale,,,,,,,,
123,,0,,,,,,,1.0,Jaques Duhon,,,,,,,,
124,,1,,,,,,,1.0,Jaques Duhon,,,,,,,,
125,,2,,,,,,,1.0,Jaques Duhon,,,,,,,,
126,,0,,,,,,,1.0,Joe Kestler,,,,,,,,
127,,1,,,,,,,1.0,Joe Kestler,,,,,,,,
128,,2,,,,,,,1.0,Joe Kestler,,,,,,,,
129,,0,,,,,,,1.0,Matt Neiman,,,,,,,,
130,,1,,,,,,,1.0,Matt Neiman,,,,,,,,
131,,2,,,,,,,1.0,Matt Neiman,,,,,,,,
132,,0,,,,,,,1.0,Matty Angell,,,,,,,,
133,,1,,,,,,,1.0,Matty Angell,,,,,,,,
134,-0.13647038589540514,2,-0.13361134505513428,0.0,-0.18943544074450877,54.84375,14.976814071937802,32.0,,Matty Angell,0.0,0.08924178337999233,-0.00691235833326207,-0.0,-0.13480975366417827,-0.0247434293509782,0.1552977668336472,0.009826978268893852
135,,0,,,,,,,1.0,Mike Degnan,,,,,,,,
136,,1,,,,,,,1.0,Mike Degnan,,,,,,,,
137,,2,,,,,,,1.0,Mike Degnan,,,,,,,,
138,,0,,,,,,,1.0,Nate Lachance,,,,,,,,
