,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,u_coeff,uv_var_coeff,v_coeff,wgust_coeff,wspd_coeff
111,-0.0,0,1.9662694033124124,-0.0,-0.0,55.57142857142857,4.12807953923735,14.0,,Chris Isom,1.4614031842402013,0.7186705181882751,0.9073203224288618,-0.0,-0.0,0.0,0.0
112,,1,,,,,,,1.0,Chris Isom,,,,,,,
113,,2,,,,,,,1.0,Chris Isom,,,,,,,
114,,0,,,,,,,1.0,Curtis Bauer,,,,,,,
115,,1,,,,,,,1.0,Curtis Bauer,,,,,,,
116,,2,,,,,,,1.0,Curtis Bauer,,,,,,,
117,,0,,,,,,,1.0,David Randall,,,,,,,
118,,1,,,,,,,1.0,David Randall,,,,,,,
119,,2,,,,,,,1.0,David Randall,,,,,,,
120,0.0,0,0.0,0.0,-0.0,51.583333333333336,8.076388888888891,12.0,,Greg Breazeale,0.0,0.0,-0.0,-2.259830306731509e-17,0.0,0.0,0.0
121,,1,,,,,,,1.0,Greg Breazeale,,,,,,,
122,,2,,,,,,,1.0,Greg Breazeale,,,,,,,
123,,0,,,,,,,1.0,Jaques Duhon,,,,,,,
124,,1,,,,,,,1.0,Jaques Duhon,,,,,,,
125,,2,,,,,,,1.0,Jaques Duhon,,,,,,,
126,,0,,,,,,,1.0,Joe Kestler,,,,,,,
127,,1,,,,,,,1.0,Joe Kestler,,,,,,,
128,,2,,,,,,,1.0,Joe Kestler,,,,,,,
129,-1.15612873059046,0,1.77102027480739,1.4091222515446478,0.3965446717293516,55.0,4.5457236037494395,12.0,,Matt Neiman,-0.13256231462458817,0.8395626963382552,-1.5419755074497337,0.027334548124884017,-0.7639129215781462,-1.1198288779473633,-0.12089586734435614
130,,1,,,,,,,1.0,Matt Neiman,,,,,,,
131,,2,,,,,,,1.0,Matt Neiman,,,,,,,
132,,0,,,,,,,1.0,Matty Angell,,,,,,,
133,,1,,,,,,,1.0,Matty Angell,,,,,,,
134,-0.15805974711085913,2,-0.15801448992304962,0.0,-0.22184184617675262,54.84375,14.79418007455977,32.0,,Matty Angell,0.0,0.10034797812523277,-0.008857071392285231,-0.0,-0.15893419281361998,0.1772257667198989,0.010645272367796152
135,,0,,,,,,,1.0,Mike Degnan,,,,,,,
136,,1,,,,,,,1.0,Mike Degnan,,,,,,,
137,,2,,,,,,,1.0,Mike Degnan,,,,,,,
