,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wgust_coeff,wspd_coeff
134,-0.5242976073595214,2,-0.4564605254063549,0.32709199999164484,54.84375,14.033462487641865,32.0,,Matty Angell,0.0,0.14660813662656513,0.5267326778828018,0.11263073987250485
135,,0,,,,,,1.0,Mike Degnan,,,,
136,,1,,,,,,1.0,Mike Degnan,,,,
137,,2,,,,,,1.0,Mike Degnan,,,,
138,,0,,,,,,1.0,Nate Lachance,,,,
139,,1,,,,,,1.0,Nate Lachance,,,,
140,,2,,,,,,1.0,Nate Lachance,,,,
141,-0.0,0,0.05815395997503555,0.0,60.125,5.486779510226189,8.0,,Nate Stone,1.1035729949068043,0.4572582864691251,0.0396465527654709,0.3361606747376714
142,,1,,,,,,1.0,Nate Stone,,,,
143,,2,,,,,,1.0,Nate Stone,,,,
144,,0,,,,,,1.0,Nick Calabrese,,,,
145,,1,,,,,,1.0,Nick Calabrese,,,,
146,-1.606226123495729,2,-0.0,-0.0,54.642857142857146,7.504799762617295,14.0,,Nick Calabrese,0.0,0.40711779384401864,0.0,0.0
147,,0,,,,,,1.0,Harry Snodgrass,,,,
148,,1,,,,,,1.0,Harry Snodgrass,,,,
149,,2,,,,,,1.0,Harry Snodgrass,,,,
150,,0,,,,,,1.0,Brian Fattig,,,,
151,,1,,,,,,1.0,Brian Fattig,,,,
152,,2,,,,,,1.0,Brian Fattig,,,,
153,,0,,,,,,1.0,Matt Wilcox,,,,
154,,1,,,,,,1.0,Matt Wilcox,,,,
155,,2,,,,,,1.0,Matt Wilcox,,,,
156,,0,,,,,,1.0,OV Chad,,,,
157,,1,,,,,,1.0,OV Chad,,,,
158,,2,,,,,,1.0,OV Chad,,,,
159,,0,,,,,,1.0,John Owen,,,,
160,,1,,,,,,1.0,John Owen,,,,
161,,2,,,,,,1.0,John Owen,,,,
162,,0,,,,,,1.0,Rob Sindelar,,,,
163,,1,,,,,,1.0,Rob Sindelar,,,,
164,,2,,,,,,1.0,Rob Sindelar,,,,
165,,0,,,,,,1.0,Rex Crossen,,,,
166,,1,,,,,,1.0,Rex Crossen,,,,
167,,2,,,,,,1.0,Rex Crossen,,,,
168,,0,,,,,,1.0,Daley Stevens,,,,
169,,1,,,,,,1.0,Daley Stevens,,,,
170,,2,,,,,,1.0,Daley Stevens,,,,
171,,0,,,,,,1.0,Jeremey Adelson,,,,
172,,1,,,,,,1.0,Jeremey Adelson,,,,
173,,2,,,,,,1.0,Jeremey Adelson,,,,
174,,0,,,,,,1.0,John Jennings,,,,
175,,1,,,,,,1.0,John Jennings,,,,
176,-0.0,2,-0.26290509278370633,-0.29852459321449315,62.60606060606061,11.237053094667159,33.0,,John Jennings,0.10103585530317184,0.22076217396252307,1.100128721529532,0.0
177,,0,,,,,,1.0,Josh Cook,,,,
178,,1,,,,,,1.0,Josh Cook,,,,
179,,2,,,,,,1.0,Josh Cook,,,,
180,0.0,0,0.0,-0.0,56.3125,8.511665766380897,16.0,,Luiz Celeste,0.0,0.10070720751402817,-0.4755052437275658,-0.0
181,0.0,1,-0.0,-0.0,60.0,11.692307692307692,13.0,,Luiz Celeste,-0.0,0.0,0.0,0.0
182,-0.522943703967892,2,-0.056534370321006784,-0.15369966045877687,55.285714285714285,6.278019549869058,21.0,,Luiz Celeste,-0.27666783945062645,0.16708585394336495,0.13597787480491325,0.2598265540188667
183,,0,,,,,,1.0,Matt Petrie,,,,
184,,1,,,,,,1.0,Matt Petrie,,,,
185,,2,,,,,,1.0,Matt Petrie,,,,
186,,0,,,,,,1.0,Paul WIldt,,,,
187,,1,,,,,,1.0,Paul WIldt,,,,
188,,2,,,,,,1.0,Paul WIldt,,,,
189,,0,,,,,,1.0,Peter William Sontag,,,,
190,,1,,,,,,1.0,Peter William Sontag,,,,
191,,2,,,,,,1.0,Peter William Sontag,,,,
192,,0,,,,,,1.0,Tim Zebal,,,,
193,,1,,,,,,1.0,Tim Zebal,,,,
194,,2,,,,,,1.0,Tim Zebal,,,,
195,,0,,,,,,1.0,Arthur Coddington,,,,
196,,1,,,,,,1.0,Arthur Coddington,,,,
197,,2,,,,,,1.0,Arthur Coddington,,,,
198,,0,,,,,,1.0,Dylan Cantu,,,,
199,,1,,,,,,1.0,Dylan Cantu,,,,
200,,2,,,,,,1.0,Dylan Cantu,,,,
201,,0,,,,,,1.0,Eric Kraszewski,,,,
202,,1,,,,,,1.0,Eric Kraszewski,,,,
203,,2,,,,,,1.0,Eric Kraszewski,,,,
204,-0.28673404229013016,0,0.6809841937627422,0.24106400015193946,68.93333333333334,9.39312630503542,15.0,,Hugh Harrell,1.6031965616905604,0.6201557479092435,0.5593720634227511,0.7134189385316904
205,,1,,,,,,1.0,Hugh Harrell,,,,
206,,2,,,,,,1.0,Hugh Harrell,,,,
207,,0,,,,,,1.0,Tu Tran,,,,
208,,1,,,,,,1.0,Tu Tran,,,,
209,,2,,,,,,1.0,Tu Tran,,,,
210,,0,,,,,,1.0,Eddy Bigarani,,,,
211,,1,,,,,,1.0,Eddy Bigarani,,,,
