,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
115,1,,,,,1.0,Curtis Bauer,,,
116,2,,63.0,,,,Curtis Bauer,,,
117,0,,59.0,,,,David Randall,,,
118,1,,,,,1.0,David Randall,,,
119,2,,64.0,,,,David Randall,,,
120,0,0.0,51.30769230769231,8.366863905325447,13.0,,Greg Breazeale,-0.0,0.0,0.0
121,1,,,,,1.0,Greg Breazeale,,,
122,2,-0.0,52.75,8.1875,4.0,,Greg Breazeale,0.0,0.0,-0.0
123,0,,,,,1.0,Jaques Duhon,,,
124,1,,,,,1.0,Jaques Duhon,,,
125,2,,66.0,,,,Jaques Duhon,,,
126,0,-0.0,56.375,2.8998760485473025,8.0,,Joe Kestler,0.3425552226187261,0.2234641543639022,-0.0
127,1,-2.90659397014624,54.0,1.6369662036035728,7.0,,Joe Kestler,0.0,0.907590617538508,-2.4133934992697665
128,2,-1.5283533579394337,58.0,0.5548183701167054,4.0,,Joe Kestler,0.0,0.8767070288629544,-0.27432068167051427
129,0,2.8918736367734423,55.46153846153846,12.517151488186459,13.0,,Matt Neiman,-0.7133809962263106,0.5640151274724832,-2.203566638821843
130,1,,52.5,,,,Matt Neiman,,,
131,2,,50.0,,,,Matt Neiman,,,
132,0,,,,,1.0,Matty Angell,,,
133,1,-0.9381319861580528,56.6,0.08954200912700772,5.0,,Matty Angell,-0.7491473642703058,0.9807021532053863,2.302752460660853
134,2,-0.45598009507184906,54.84375,14.878133731661787,32.0,,Matty Angell,0.0,0.09524265447938296,0.5223823669264386
135,0,-0.0,55.625,3.171478612921092,8.0,,Mike Degnan,0.0,0.2927713197667251,0.7441027521147352
136,1,,,,,1.0,Mike Degnan,,,
137,2,,57.5,,,,Mike Degnan,,,
138,0,,,,,1.0,Nate Lachance,,,
139,1,,,,,1.0,Nate Lachance,,,
140,2,,58.5,,,,Nate Lachance,,,
141,0,0.052854598195754,59.77777777777778,8.313147149547142,9.0,,Nate Stone,0.0,0.16455965370556003,0.6379830344178724
142,1,0.25161058103085376,61.5,0.8166371089315798,4.0,,Nate Stone,-3.4997480999430253,0.9575772930425153,0.0
143,2,,61.0,,,,Nate Stone,,,
144,0,,,,,1.0,Nick Calabrese,,,
145,1,,,,,1.0,Nick Calabrese,,,
146,2,-0.0,54.642857142857146,12.609486165653635,14.0,,Nick Calabrese,0.0,0.0038455104924980388,0.015400750779354645
147,0,,,,,1.0,Harry Snodgrass,,,
148,1,,,,,1.0,Harry Snodgrass,,,
149,2,,65.0,,,,Harry Snodgrass,,,
