,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,rh_coeff,u_coeff,uv_var_coeff,v_coeff,wdir_coeff,wgust_coeff,wspd_coeff
81,,0,,,,,,,1.0,Ari Freedman,,,,,,,,,
82,,1,,,,,,,1.0,Ari Freedman,,,,,,,,,
83,-0.0047062893812942295,2,0.3696308130471758,-0.28702198748320557,-0.0,58.64,10.729664203479672,25.0,,Ari Freedman,0.0913349227308897,0.22419711624539604,0.33190541428324877,-0.0,-0.14175027571039744,-0.16470465297798653,0.020843858976457432,0.15320688774399954,0.11225108321897273
84,,0,,,,,,,1.0,Peter Sontag,,,,,,,,,
85,,1,,,,,,,1.0,Peter Sontag,,,,,,,,,
86,-0.7456540901168266,2,0.40471242353782694,0.0,0.022176646554568632,52.3125,5.454665624441868,16.0,,Peter Sontag,0.0,0.7179570996047024,0.0,-0.9266372373811533,0.1954147399919299,-0.0934714318391404,0.2728318417598556,0.9600745578279105,0.9245975540817759
87,,0,,,,,,,1.0,AJ Jaussaud,,,,,,,,,
88,,1,,,,,,,1.0,AJ Jaussaud,,,,,,,,,
89,,2,,,,,,,1.0,AJ Jaussaud,,,,,,,,,
90,,0,,,,,,,1.0,Aaron Hesterman,,,,,,,,,
91,,1,,,,,,,1.0,Aaron Hesterman,,,,,,,,,
92,,2,,,,,,,1.0,Aaron Hesterman,,,,,,,,,
93,,0,,,,,,,1.0,Aaron Kirby,,,,,,,,,
94,,1,,,,,,,1.0,Aaron Kirby,,,,,,,,,
95,,2,,,,,,,1.0,Aaron Kirby,,,,,,,,,
96,,0,,,,,,,1.0,Andy Sommers,,,,,,,,,
97,,1,,,,,,,1.0,Andy Sommers,,,,,,,,,
98,,2,,,,,,,1.0,Andy Sommers,,,,,,,,,
99,,0,,,,,,,1.0,Bob McGarity,,,,,,,,,
100,,1,,,,,,,1.0,Bob McGarity,,,,,,,,,
101,,2,,,,,,,1.0,Bob McGarity,,,,,,,,,
102,,0,,,,,,,1.0,Bryan Hesterman,,,,,,,,,
103,,1,,,,,,,1.0,Bryan Hesterman,,,,,,,,,
104,,2,,,,,,,1.0,Bryan Hesterman,,,,,,,,,
105,,0,,,,,,,1.0,Chad Inman,,,,,,,,,
106,,1,,,,,,,1.0,Chad Inman,,,,,,,,,
107,,2,,,,,,,1.0,Chad Inman,,,,,,,,,
108,,0,,,,,,,1.0,Chris Basuino,,,,,,,,,
109,,1,,,,,,,1.0,Chris Basuino,,,,,,,,,
110,,2,,,,,,,1.0,Chris Basuino,,,,,,,,,
111,-0.0,0,1.8413300882547883,-0.0,-0.0,55.57142857142857,4.42524210623288,14.0,,Chris Isom,1.3737691232456384,0.6984188272525576,-0.0,0.7633572014142239,-0.0,-0.0,-0.0,0.0,0.0
112,,1,,,,,,,1.0,Chris Isom,,,,,,,,,
113,,2,,,,,,,1.0,Chris Isom,,,,,,,,,
114,,0,,,,,,,1.0,Curtis Bauer,,,,,,,,,
115,,1,,,,,,,1.0,Curtis Bauer,,,,,,,,,
116,,2,,,,,,,1.0,Curtis Bauer,,,,,,,,,
117,,0,,,,,,,1.0,David Randall,,,,,,,,,
118,,1,,,,,,,1.0,David Randall,,,,,,,,,
119,,2,,,,,,,1.0,David Randall,,,,,,,,,
120,,0,,,,,,,1.0,Greg Breazeale,,,,,,,,,
121,,1,,,,,,,1.0,Greg Breazeale,,,,,,,,,
122,,2,,,,,,,1.0,Greg Breazeale,,,,,,,,,
123,,0,,,,,,,1.0,Jaques Duhon,,,,,,,,,
124,,1,,,,,,,1.0,Jaques Duhon,,,,,,,,,
125,,2,,,,,,,1.0,Jaques Duhon,,,,,,,,,
126,,0,,,,,,,1.0,Joe Kestler,,,,,,,,,
127,,1,,,,,,,1.0,Joe Kestler,,,,,,,,,
128,,2,,,,,,,1.0,Joe Kestler,,,,,,,,,
129,,0,,,,,,,1.0,Matt Neiman,,,,,,,,,
130,,1,,,,,,,1.0,Matt Neiman,,,,,,,,,
131,,2,,,,,,,1.0,Matt Neiman,,,,,,,,,
132,,0,,,,,,,1.0,Matty Angell,,,,,,,,,
133,,1,,,,,,,1.0,Matty Angell,,,,,,,,,
134,-0.13243377069620257,2,-0.13733904820082354,0.0,-0.18514919473217278,54.84375,14.929428363322414,32.0,,Matty Angell,0.0,0.09212336575555846,0.06558788598887283,-0.0006739478789475358,-0.0,-0.13152871482787393,-0.02714240604688037,0.1497917959425342,0.004589916269632346
135,,0,,,,,,,1.0,Mike Degnan,,,,,,,,,
136,,1,,,,,,,1.0,Mike Degnan,,,,,,,,,
137,,2,,,,,,,1.0,Mike Degnan,,,,,,,,,
138,,0,,,,,,,1.0,Nate Lachance,,,,,,,,,
139,,1,,,,,,,1.0,Nate Lachance,,,,,,,,,
140,,2,,,,,,,1.0,Nate Lachance,,,,,,,,,
141,,0,,,,,,,1.0,Nate Stone,,,,,,,,,
142,,1,,,,,,,1.0,Nate Stone,,,,,,,,,
143,,2,,,,,,,1.0,Nate Stone,,,,,,,,,
144,,0,,,,,,,1.0,Nick Calabrese,,,,,,,,,
145,,1,,,,,,,1.0,Nick Calabrese,,,,,,,,,
146,-1.5700479422003146,2,-0.0,-0.0,0.0,54.642857142857146,7.292186226292799,14.0,,Nick Calabrese,0.0,0.42391434891036334,-0.1275217825667386,-0.0,0.0,0.0,0.0,0.0,0.03619334034096532
147,,0,,,,,,,1.0,Harry Snodgrass,,,,,,,,,
148,,1,,,,,,,1.0,Harry Snodgrass,,,,,,,,,
149,,2,,,,,,,1.0,Harry Snodgrass,,,,,,,,,
150,,0,,,,,,,1.0,Brian Fattig,,,,,,,,,
151,,1,,,,,,,1.0,Brian Fattig,,,,,,,,,
152,,2,,,,,,,1.0,Brian Fattig,,,,,,,,,
153,,0,,,,,,,1.0,Matt Wilcox,,,,,,,,,
154,,1,,,,,,,1.0,Matt Wilcox,,,,,,,,,
155,,2,,,,,,,1.0,Matt Wilcox,,,,,,,,,
156,,0,,,,,,,1.0,OV Chad,,,,,,,,,
157,,1,,,,,,,1.0,OV Chad,,,,,,,,,
158,,2,,,,,,,1.0,OV Chad,,,,,,,,,
159,,0,,,,,,,1.0,John Owen,,,,,,,,,
160,,1,,,,,,,1.0,John Owen,,,,,,,,,
161,,2,,,,,,,1.0,John Owen,,,,,,,,,
162,,0,,,,,,,1.0,Rob Sindelar,,,,,,,,,
163,,1,,,,,,,1.0,Rob Sindelar,,,,,,,,,
164,,2,,,,,,,1.0,Rob Sindelar,,,,,,,,,
165,,0,,,,,,,1.0,Rex Crossen,,,,,,,,,
166,,1,,,,,,,1.0,Rex Crossen,,,,,,,,,
167,,2,,,,,,,1.0,Rex Crossen,,,,,,,,,
168,,0,,,,,,,1.0,Daley Stevens,,,,,,,,,
169,,1,,,,,,,1.0,Daley Stevens,,,,,,,,,
170,,2,,,,,,,1.0,Daley Stevens,,,,,,,,,
171,,0,,,,,,,1.0,Jeremey Adelson,,,,,,,,,
172,,1,,,,,,,1.0,Jeremey Adelson,,,,,,,,,
173,,2,,,,,,,1.0,Jeremey Adelson,,,,,,,,,
174,,0,,,,,,,1.0,John Jennings,,,,,,,,,
175,,1,,,,,,,1.0,John Jennings,,,,,,,,,
176,-0.0,2,-0.0,-0.05674255237437803,0.0,62.60606060606061,11.720468102606318,33.0,,John Jennings,0.0,0.1872395718454991,0.3243224648213343,-0.0,-0.0,-0.0,0.0,0.7467972661650276,0.0
177,,0,,,,,,,1.0,Josh Cook,,,,,,,,,
178,,1,,,,,,,1.0,Josh Cook,,,,,,,,,
179,,2,,,,,,,1.0,Josh Cook,,,,,,,,,
180,0.0,0,0.0,-0.0,-0.6764129739215857,56.3125,7.333489973878839,16.0,,Luiz Celeste,0.0,0.22518636677136492,0.0,0.0,0.0,0.0,-0.0,-0.1709799042887918,-0.0
181,,1,,,,,,,1.0,Luiz Celeste,,,,,,,,,
182,-0.29979271171864424,2,-0.0,-0.0,-0.0,55.285714285714285,6.156030484624208,21.0,,Luiz Celeste,-0.0,0.18327032379083164,0.0,-0.3931557448138993,-0.21255669112770215,0.0,0.0,0.0,0.0
183,,0,,,,,,,1.0,Matt Petrie,,,,,,,,,
184,,1,,,,,,,1.0,Matt Petrie,,,,,,,,,
185,,2,,,,,,,1.0,Matt Petrie,,,,,,,,,
186,,0,,,,,,,1.0,Paul WIldt,,,,,,,,,
187,,1,,,,,,,1.0,Paul WIldt,,,,,,,,,
188,,2,,,,,,,1.0,Paul WIldt,,,,,,,,,
189,,0,,,,,,,1.0,Peter William Sontag,,,,,,,,,
190,,1,,,,,,,1.0,Peter William Sontag,,,,,,,,,
191,,2,,,,,,,1.0,Peter William Sontag,,,,,,,,,
192,,0,,,,,,,1.0,Tim Zebal,,,,,,,,,
193,,1,,,,,,,1.0,Tim Zebal,,,,,,,,,
194,,2,,,,,,,1.0,Tim Zebal,,,,,,,,,
195,,0,,,,,,,1.0,Arthur Coddington,,,,,,,,,
196,,1,,,,,,,1.0,Arthur Coddington,,,,,,,,,
197,,2,,,,,,,1.0,Arthur Coddington,,,,,,,,,
198,,0,,,,,,,1.0,Dylan Cantu,,,,,,,,,
199,,1,,,,,,,1.0,Dylan Cantu,,,,,,,,,
200,,2,,,,,,,1.0,Dylan Cantu,,,,,,,,,
