,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_values,nomatch,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
111,-0.04157593571826801,0,0.3833400903685187,-0.0,54.42903988712784,5.761863240708486,14.0,,Chris Isom,50.90479069710262,0.6073278180880171,0.0,0.003881107436534734,0.11661848905067371
112,,1,,,,,,1.0,Chris Isom,,,,,
113,,2,,,53.0,4.0,2.0,,Chris Isom,,,2.0,,
114,,0,,,,,,1.0,Curtis Bauer,,,,,
115,,1,,,,,,1.0,Curtis Bauer,,,,,
116,,2,,,63.0,0.0,1.0,,Curtis Bauer,,,0.0,,
117,,0,,,59.0,0.0,2.0,,David Randall,,,1.0,,
118,,1,,,,,,1.0,David Randall,,,,,
119,,2,,,64.0,0.0,1.0,,David Randall,,,0.0,,
120,0.0,0,0.0,0.0,51.30769230769231,8.366863905325447,13.0,,Greg Breazeale,0.0,0.0,0.0,0.0,0.0
121,,1,,,,,,1.0,Greg Breazeale,,,,,
122,,2,-0.0,,52.75,8.1875,4.0,,Greg Breazeale,,0.0,1.0,,
123,,0,,,,,,1.0,Jaques Duhon,,,,,
124,,1,,,,,,1.0,Jaques Duhon,,,,,
125,,2,,,66.0,0.0,1.0,,Jaques Duhon,,,0.0,,
126,0.0,0,0.0,0.0,56.337913819196146,3.4853568215710844,8.0,,Joe Kestler,19.352083116761328,0.0666826921315925,0.0,-0.0,-0.0
127,,1,-1.0993458968162597,,57.29803769044878,8.414084072892217,7.0,,Joe Kestler,,0.525011382981891,0.0,,
128,,2,-1.3187145550174308,,59.97807183252615,0.739544599440084,4.0,,Joe Kestler,,0.8356567556799813,0.0,,
129,-0.2878514251436352,0,0.49996523995317166,0.0010047848943658723,69.86904391550335,11.254352965720786,13.0,,Matt Neiman,52.827357606972015,0.607999659685323,0.0,-0.08268966465655345,-0.31188650952796976
130,,1,,,52.5,1.5,2.0,,Matt Neiman,,,1.0,,
131,,2,,,50.0,1.0,2.0,,Matt Neiman,,,3.0,,
132,,0,,,,,,1.0,Matty Angell,,,,,
133,,1,0.0,,56.6,4.640000000000001,5.0,,Matty Angell,,0.0,1.0,,
134,-0.23640645971333152,2,-0.0759028917638565,0.0007203216338456003,66.83895153367719,11.792176427100419,32.0,,Matty Angell,17.954869725041753,0.2829034585574661,0.0,0.28171255327942923,-0.0
135,-0.17731795837923084,0,-0.05003340417123252,-0.00078151905294454,64.0869267285915,1.7477179352109178,8.0,,Mike Degnan,910.950274822791,0.6102649900574957,0.0,0.1113194603352086,0.10623610007565769
136,,1,,,,,,1.0,Mike Degnan,,,,,
137,,2,,,57.5,0.5,2.0,,Mike Degnan,,,3.0,,
138,,0,,,,,,1.0,Nate Lachance,,,,,
139,,1,,,,,,1.0,Nate Lachance,,,,,
140,,2,,,58.5,1.5,2.0,,Nate Lachance,,,3.0,,
141,-0.012778473442221022,0,0.0,0.0,59.04755331734128,5.617983655708168,9.0,,Nate Stone,174.27581755358733,0.4354135532104694,0.0,0.03050317942655668,0.18922035112061808
142,,1,1.6314355238589746,,59.05284671421154,9.525493144764468,4.0,,Nate Stone,,0.5051691872849626,0.0,,
143,,2,,,61.0,0.0,1.0,,Nate Stone,,,0.0,,
144,,0,,,,,,1.0,Nick Calabrese,,,,,
145,,1,,,,,,1.0,Nick Calabrese,,,,,
146,-0.5384846675535827,2,-0.0,-0.0005129869494473316,87.10778632091385,7.099640113163742,14.0,,Nick Calabrese,0.0,0.4391255694558269,0.0,-0.0,0.0
147,,0,,,,,,1.0,Harry Snodgrass,,,,,
148,,1,,,,,,1.0,Harry Snodgrass,,,,,
149,,2,,,65.0,0.0,1.0,,Harry Snodgrass,,,0.0,,
150,,0,,,,,,1.0,Brian Fattig,,,,,
151,,1,,,,,,1.0,Brian Fattig,,,,,
152,,2,,,71.0,0.0,1.0,,Brian Fattig,,,0.0,,
153,,0,,,,,,1.0,Matt Wilcox,,,,,
154,,1,,,,,,1.0,Matt Wilcox,,,,,
155,,2,,,63.0,0.0,1.0,,Matt Wilcox,,,0.0,,
156,,0,,,,,,1.0,OV Chad,,,,,
157,,1,,,,,,1.0,OV Chad,,,,,
158,,2,,,72.0,0.0,1.0,,OV Chad,,,0.0,,
159,,0,,,,,,1.0,John Owen,,,,,
160,,1,,,,,,1.0,John Owen,,,,,
161,,2,,,53.0,0.0,1.0,,John Owen,,,0.0,,
162,,0,,,,,,1.0,Rob Sindelar,,,,,
163,,1,,,,,,1.0,Rob Sindelar,,,,,
164,,2,,,54.5,0.5,2.0,,Rob Sindelar,,,1.0,,
165,,0,,,,,,1.0,Rex Crossen,,,,,
166,,1,,,,,,1.0,Rex Crossen,,,,,
167,,2,,,58.0,0.0,1.0,,Rex Crossen,,,0.0,,
168,,0,,,,,,1.0,Daley Stevens,,,,,
169,,1,,,,,,1.0,Daley Stevens,,,,,
170,,2,,,62.0,0.0,1.0,,Daley Stevens,,,0.0,,
171,,0,,,,,,1.0,Jeremey Adelson,,,,,
172,,1,,,67.0,0.0,1.0,,Jeremey Adelson,,,0.0,,
173,,2,,,,,,1.0,Jeremey Adelson,,,,,
174,,0,,,,,,1.0,John Jennings,,,,,
175,,1,-8.37342772183133e-18,,63.8,14.959999999999999,5.0,,John Jennings,,0.0,0.0,,
176,0.0,2,-0.04008702690880994,4.083229292373092e-05,61.203923041651265,12.257046697172349,33.0,,John Jennings,18.52155570462049,0.15003032009547312,0.0,0.1569290107882061,0.20277880491772807
177,,0,,,,,,1.0,Josh Cook,,,,,
178,,1,0.6670746656825197,,50.99938800147622,0.22208643062926722,4.0,,Josh Cook,,0.7779135693707327,0.0,,
179,,2,,,,,,1.0,Josh Cook,,,,,
180,0.0,0,0.0,0.0,56.05882352941177,9.937716262975776,17.0,,Luiz Celeste,0.0,0.0,0.0,-0.0,-0.0
181,0.0,1,-0.0,-0.0,60.0,11.692307692307692,13.0,,Luiz Celeste,0.0,0.0,0.0,0.0,0.0
182,-0.016190310216593885,2,-0.0,0.0,56.247394673495876,7.453956225885026,21.0,,Luiz Celeste,-0.0,0.011072594580235684,0.0,0.0,0.0
